titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Nathan for You,,8.9,"['Documentary', 'Comedy']",2013–2017,30m,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","['Nathan Fielder', 'Anthony Filosa', 'Salomon Flores']",TV-14,United States
Cowboy Bebop,Original title: Kaubôi bibappu: Cowboy Bebop,8.9,"['Animation', 'Action', 'Adventure']",1998–1999,24m,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"['Kôichi Yamadera', 'Unshô Ishizuka', 'Megumi Hayashibara']",TV-14,Japan
Apocalypse: The Second World War,Original title: Apocalypse: La 2ème guerre mondiale,9.0,"['Documentary', 'History', 'War']",2009,5h 12m,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",[],TV-MA,France
Gravity Falls,,8.9,"['Animation', 'Adventure', 'Comedy']",2012–2016,23m,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","['Jason Ritter', 'Alex Hirsch', 'Kristen Schaal']",TV-Y7,United States
Planet Earth II,,9.5,['Documentary'],2016,4h 58m,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"['David Attenborough', 'Gordon Buchanan', 'Chadden Hunter']",TV-G,United Kingdom
When They See Us,,8.9,"['Biography', 'Crime', 'Drama']",2019,4h 56m,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"['Asante Blackk', 'Caleel Harris', 'Ethan Herisse']",TV-MA,United States
Friends,,8.9,"['Comedy', 'Romance']",1994–2004,22m,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow']",TV-14,United States
Last Week Tonight with John Oliver,,8.9,"['Comedy', 'News', 'Talk-Show']",2014– ,30m,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"['John Oliver', 'David Kaye', 'Ryan Barger']",TV-MA,United States
The Beatles: Get Back,,9.0,"['Documentary', 'Biography', 'Music']",2021,7h 48m,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',[],PG-13,United Kingdom
Persona,Original title: Sahsiyet,9.0,"['Crime', 'Drama', 'Mystery']",2018,1h 5m,A man diagnosed with Alzheimer's decides to punish criminals.,"['Haluk Bilginer', 'Cansu Dere', 'Metin Akdülger']",TV-MA,Turkey
